assumption_label,claim_disposition,claim_target,confidence_interval,config_hash,denominator,expected_outcome,expected_outcome_detected,miss_probability,mode,observation_key,observed_attack_detected,observed_availability_success,origin,reconstruction_status,run_id,sample_size,scenario_id,source_hashes,uncertainty
CORRELATED_LOSS_DECLARED,INCONCLUSIVE,ATTACK_DETECTION,0.181192|0.567146,1639574c9328a6c2afb01c0b57807a28dcf9e5639d144664e31a6cc56c8ed2be,20,CORRUPT,true,0.35,CORRELATED_LOSS,obs-correlated-loss-corrupt,true,false,REPRODUCIBLE_SIMULATION,CORRUPT,publication-e4-simulation-v1,2,correlated-loss-corrupt,79adc77c62047af65d0bd861d757311b5a8fdac3286f92c3795e99b3f6480032|a72fa9b4c15cb9b14d4bebb0cd8d67d585e160902426a3059367c8a5e792bb73|206a992c99bd6b18fbe0a49b6830fcab0a179b4693b14bc3083bef380cd85869,observed_and_exact_miss_probability
STATIC_WITHOUT_REPLACEMENT_HYPERGEOMETRIC,INCONCLUSIVE,ATTACK_DETECTION,0.038462|0.038462,1639574c9328a6c2afb01c0b57807a28dcf9e5639d144664e31a6cc56c8ed2be,1,WITHHELD,true,0.038462,STATIC_WITHOUT_REPLACEMENT,obs-static-withheld-wo-replacement,true,false,REPRODUCIBLE_SIMULATION,WITHHELD,publication-e4-simulation-v1,2,static-withheld-wo-replacement,79adc77c62047af65d0bd861d757311b5a8fdac3286f92c3795e99b3f6480032|a72fa9b4c15cb9b14d4bebb0cd8d67d585e160902426a3059367c8a5e792bb73|206a992c99bd6b18fbe0a49b6830fcab0a179b4693b14bc3083bef380cd85869,observed_and_exact_miss_probability
