baseline_credit_micros,capacity_model,claim_disposition,confidence_interval_micros,config_hash,expected_credit_micros,identities,origin,run_id,sample_size,scenario_id,source_hashes,sybil_advantage_micros,uncertainty
705.849609,IDENTITY_UNIFORM,SUPPORTED,0.000000|0.000000,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,705.849609,1,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,6,negative-identity-uniform-1,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d,0.000000,confidence_interval_micros
705.849609,IDENTITY_UNIFORM,SUPPORTED,1908.369141|1908.369141,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,2614.218750,64,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,6,negative-identity-uniform-64,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d,1908.369141,confidence_interval_micros
705.849609,OPERATOR_SLOT,SUPPORTED,0.000000|0.000000,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,705.849609,1,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,6,support-operator-slot-1,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d,0.000000,confidence_interval_micros
705.849609,OPERATOR_SLOT,SUPPORTED,0.000000|0.000000,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,705.849609,64,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,6,support-operator-slot-64,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d,0.000000,confidence_interval_micros
707.871094,CAPACITY_COMMITTED,SUPPORTED,0.000000|0.000000,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,707.871094,1,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,6,support-capacity-committed-1,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d,0.000000,confidence_interval_micros
707.871094,CAPACITY_COMMITTED,SUPPORTED,0.000000|0.000000,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,707.871094,64,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,6,support-capacity-committed-64,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d,0.000000,confidence_interval_micros
