artifact_id,claim_id,config_hash,disposition,experiment_id,limits,maturity,omission_reason,origin,run_id,scope,source_hashes
T10,C5,a0f830852c8808d4fbd5599802b709cb07e452661d0dedd9b9b4225fd6ec3454,SUPPORTED,E5,bonded_auditor_detection_probability=0.900000|challenge_success_probability=0.800000|correlation_model=INDEPENDENT|correlation_model=SHARED_INFRASTRUCTURE|family=BONDED_AUDITOR|family=INDEPENDENT|fraud_value_micros=2000000|per_watcher_attempt_probability=0.250000|shared_infrastructure_failure_probability=0.400000|watchers=4,REPRODUCIBLE_SIMULATION,,REPRODUCIBLE_SIMULATION,publication-e5-simulation-v1,E5_CONFIRMATORY_PUBLICATION_V1,1ded94adbbd965cc21c246f40be6367c9a33fb586a6c770f4787f75365259e44|54f7d4df156aac42743478d1f65607561c18a7a37c97f64b0a8b705e1616d95d
T11,C6,c24525f204aa2e9d433998863a14a654d0d1313e417504794a768f384e7bce88,SUPPORTED,E6,attacker_identity_count=1|attacker_identity_count=64|attacker_total_capacity_units=12|capacity_model=CAPACITY_COMMITTED|capacity_model=IDENTITY_UNIFORM|capacity_model=OPERATOR_SLOT|honest_operator_count=5|role=NEGATIVE_CONTROL|role=SUPPORT|target_weight_fraction=1/3|task_count=48|task_credit_budget=90,REPRODUCIBLE_SIMULATION,,REPRODUCIBLE_SIMULATION,publication-e6-simulation-v1,E6_CONFIRMATORY_PUBLICATION_V1,98a2466b77fd6216554cc60932d9afc03161367c1a5f133a1f940a6f1c2e9fc1|ba9df46d33733bcc9740fbd05f6cce974d54c047e1355af437eede441b3d342d
T12,E7_LOCAL_EVM_BOUNDEDNESS_AND_PARITY,dd9446c9905acdf373ffa2eee592226ab9726afca6d8e04004b608393b31ac9a,SUPPORTED,E7,,LOCAL_FOUNDRY_MEASUREMENT,,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,PUBLICATION_EVIDENCE_AUTHORIZED,c5e7fe21f4d786a789a356fd13992444216d2de451734be72ee5e1cacec7dda4|dd9446c9905acdf373ffa2eee592226ab9726afca6d8e04004b608393b31ac9a|4fdf9b927fffe04c2a4931328638706beb22cada2ea0730e35e7e80de8300f9f|9f9f325b004cf07cd98e41c813a76fcf9899d3c105297647c5f1d8d962fdadd4|922517a36954a11041f8305df15a9cc900b814d779604096d25723d99d148d58
T13,C8,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,INCONCLUSIVE,E8,"ablation=CHURN|ablation=COLLATERAL_RICH_ZERO_CREDIT|ablation=COLLUSION|ablation=CONCENTRATION_CAP_REMOVED|ablation=HIGH_COMPUTE|ablation=MISSING_RECEIPTS|ablation=NONE|ablation=SUBSIDIZED_COMPUTE|ablation=SYBIL_SPLIT|attacker_operator_ids=attacker-1|attacker_operator_ids=attacker-1,attacker-2|beta_micros=10000|committee_algorithm_version=POI_MPP_COMMITTEE_SAMPLER_SHA256_NO_REPLACEMENT_V1|committee_size=2|concentration_cap_micros=10000|concentration_cap_micros=120|role=BOUNDARY|role=NEGATIVE_CONTROL|role=SUPPORT|target_epoch=8|E8 publication artifacts are reproducible simulations only; they are not live consensus evidence.|Frozen scenario assertions are publication criteria only; they are not measured result claims.",REPRODUCIBLE_SIMULATION,,REPRODUCIBLE_SIMULATION,run-e8-publication-v1,E8_CONFIRMATORY_PUBLICATION_V1,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd
T4,E3_MISSING,,WAITING_EXTERNAL,E3,,ABSENT,WAITING_EXTERNAL_EVALUATOR_AUTHORITY,,,,
T6,C1,,INCONCLUSIVE,E1,FIXED_ORDER_PILOT is methodologically capped at INCONCLUSIVE; counterbalanced paired execution is required for C1 support eligibility,REAL_MODEL_EXECUTION,,REAL_MODEL_EXECUTION,run-e1-real-pilot-qwen25-1p5b-r989aa79-s7-t24,E1_REAL_MODEL_PUBLICATION_V1,160f8a705ef3b9dffa3b594e091592635cf4bacfe5e7c7e2b1e4c52a52492740
T7,C2,,INCONCLUSIVE,E2,exact equality only; no tolerance or probabilistic bound applies|exact mismatch observed; reject and inspect corruption or serialization drift|declared modulus path relies on caller-declared exact modular semantics|binary nonzero Freivalds challenges provide at most 2^-k error under declared exact arithmetic|field audit rejected the proposed product|empirical floating-point audit rejected the proposed product|floating-point checks do not provide exact field soundness,REAL_MODEL_EXECUTION,,REAL_MODEL_EXECUTION,run-e2-real-pilot-qwen25-1p5b-r989aa79-s7-t24,E2_REAL_MODEL_PUBLICATION_V1,04ca1b7bc0250776918bbcff4424f4f3cc5d5093aca245873192e15a5a694d9d|a0b1ed623897d75c2d30f8efa0fae6dc09af5f282a3c55f771766258abeb2277
T8,E3_MISSING,,WAITING_EXTERNAL,E3,,ABSENT,WAITING_EXTERNAL_EVALUATOR_AUTHORITY,,,,
T9,C4,1639574c9328a6c2afb01c0b57807a28dcf9e5639d144664e31a6cc56c8ed2be,INCONCLUSIVE,E4,CORRELATED_LOSS_DECLARED|STATIC_WITHOUT_REPLACEMENT_HYPERGEOMETRIC,REPRODUCIBLE_SIMULATION,,REPRODUCIBLE_SIMULATION,publication-e4-simulation-v1,E4_CONFIRMATORY_PUBLICATION_V1,79adc77c62047af65d0bd861d757311b5a8fdac3286f92c3795e99b3f6480032|a72fa9b4c15cb9b14d4bebb0cd8d67d585e160902426a3059367c8a5e792bb73|206a992c99bd6b18fbe0a49b6830fcab0a179b4693b14bc3083bef380cd85869
